T_subtype,TIL dysfunction score
Naive/CM T,-0.462182893813538
Naive/CM T,-0.984791009001029
Cytotoxic CD8T,-0.55680326175488
Naive/CM T,1.38234519420836
Naive/CM T,0.549385389364295
Naive/CM T,-0.595399202302444
gdT,-0.822028818056564
Cytotoxic CD8T,-0.355259531060098
gdT,-0.493322036063024
Naive/CM T,-0.0692095934630616
Cytotoxic CD8T,-0.640597570606148
Naive/CM T,-0.262895367026245
Naive/CM T,1.71803021851016
Cytotoxic CD8T,2.14015155278771
Naive/CM T,-0.793061163662352
gdT,-0.0755256077535897
Naive/CM T,-0.235146632070185
Naive/CM T,-0.702113839082939
gdT,-0.00352743698560997
Naive/CM T,-0.896082402955822
Naive/CM T,0.171687255870128
Naive/CM T,0.0932995115391716
Naive/CM T,-0.697923231158481
Naive/CM T,-0.869446832920313
Naive/CM T,0.0981157583783762
gdT,1.04697527223443
Naive/CM T,-0.655707070993822
Naive/CM T,-0.0879298956819283
Naive/CM T,-0.356598434690189
Naive/CM T,0.183777980522171
Naive/CM T,-0.441825630128845
Naive/CM T,-0.701573787229509
gdT,-0.468105037923091
gdT,-0.128397831369068
Treg,0.844878216206481
gdT,0.559650792127935
gdT,-0.641553614658734
Naive/CM T,0.903796984327772
Naive/CM T,0.47454560853126
Naive/CM T,0.205740039494778
Cytotoxic CD8T,0.0854135382923129
Naive/CM T,-0.651508479827386
Naive/CM T,-0.851981969178773
Naive/CM T,0.018157036225505
Naive/CM T,-0.369441350973181
Naive/CM T,0.0126916846395632
gdT,0.385325393515459
Naive/CM T,0.455744217112502
Naive/CM T,0.868854138278221
gdT,-0.0498241501177088
Naive/CM T,-0.0223177344636065
gdT,0.079519515141708
gdT,0.572069760860902
Naive/CM T,0.896241309694877
gdT,-1.14554944888565
Naive/CM T,-0.709558970496384
Naive/CM T,-0.488808469926916
Naive/CM T,2.12314006894133
Cytotoxic CD8T,-0.179136754090387
Naive/CM T,-0.127020632237763
Naive/CM T,0.618667891531279
gdT,0.165849270326642
Naive/CM T,-1.01669654550478
Naive/CM T,-0.412836453207283
Naive/CM T,-0.996977813484132
gdT,0.365046177891629
gdT,1.03493291950293
Naive/CM T,-0.00577109661465202
Naive/CM T,1.03299185690365
Naive/CM T,0.89154772661033
Naive/CM T,1.27299543331003
Cytotoxic CD8T,0.287246169129923
Naive/CM T,0.990968364153721
Naive/CM T,0.77733399953701
Cytotoxic CD8T,-0.257051942380403
Naive/CM T,0.700639342992888
Proliferating CD8T,1.61719778274632
Naive/CM T,0.193883870335176
Cytotoxic CD8T,0.820714906204578
Naive/CM T,-0.237687650577042
Naive/CM T,-0.884380360402382
Cytotoxic CD8T,0.676393828818796
Naive/CM T,0.455375362232254
Naive/CM T,1.46123526548314
Naive/CM T,-1.0845949248246
Naive/CM T,-0.942359081534452
Cytotoxic CD8T,-0.14399318916853
Naive/CM T,-1.63681385128997
Naive/CM T,-0.362575787066405
gdT,0.35494823738082
Naive/CM T,-0.506132562367154
Naive/CM T,0.556415731256658
Naive/CM T,-0.743269930430244
Naive/CM T,0.0940836757904546
Naive/CM T,-0.108806112099903
Naive/CM T,-0.696621383387409
Cytotoxic CD8T,0.413553258077286
Naive/CM T,1.42340806473133
Naive/CM T,0.730222723532764
Naive/CM T,-0.143675955355041
gdT,-0.798056622640275
Naive/CM T,-0.60413853226622
Naive/CM T,-1.23469567114068
Cytotoxic CD8T,-0.339929677467265
Naive/CM T,-0.832557307909373
Cytotoxic CD8T,0.0378508752630661
Naive/CM T,-0.563035181326459
Naive/CM T,0.116110282182861
Naive/CM T,-0.187976641920437
Naive/CM T,1.04859169307437
Naive/CM T,0.168028590207035
Naive/CM T,0.0901372357100309
gdT,-0.997187313351352
Naive/CM T,0.289334444364584
Naive/CM T,-1.14966312556975
gdT,-0.198887054142269
Cytotoxic CD8T,0.53362448237327
Naive/CM T,0.0889294841408814
Naive/CM T,1.92865969581953
Naive/CM T,2.38201032481284
Naive/CM T,-0.465367315183482
Naive/CM T,0.138566195922808
Naive/CM T,-1.14764981626036
Naive/CM T,-1.30666156147801
Naive/CM T,0.233684179562762
gdT,-0.252473515301543
Naive/CM T,-1.03426579071485
Cytotoxic CD8T,0.267303697990648
Naive/CM T,-0.61812324167726
Naive/CM T,0.0322318332475872
Naive/CM T,0.198416549273995
Cytotoxic CD8T,0.0222989056125502
gdT,0.262907206970171
Cytotoxic CD8T,0.244455734048618
gdT,-1.35939993549182
Cytotoxic CD8T,1.25379231448237
Naive/CM T,-0.528296064708836
Naive/CM T,-0.709088998247486
Cytotoxic CD8T,-0.215065775327568
Naive/CM T,0.564131460532577
Naive/CM T,-0.525113707617019
Cytotoxic CD8T,-0.0227464187976926
Naive/CM T,-0.664877693950499
Naive/CM T,-0.9832412364871
Naive/CM T,-0.397428941357043
Naive/CM T,-0.497826857496265
Naive/CM T,-0.42279807743344
Treg,0.810567531894847
gdT,-0.358683711798616
Naive/CM T,-1.26543715102644
Naive/CM T,1.12367845203273
Cytotoxic CD8T,0.972518326784205
Naive/CM T,0.311969753047628
Naive/CM T,-0.37869148240953
Naive/CM T,-0.477677180617522
Naive/CM T,-0.610535314504826
Naive/CM T,-0.549563742255223
Naive/CM T,-0.417986939707803
Naive/CM T,-1.06872136665113
Naive/CM T,0.412171498917626
Cytotoxic CD8T,-0.000776031472634164
Naive/CM T,-0.672826041126856
Naive/CM T,0.918388503802503
Naive/CM T,0.297020061995632
gdT,-0.909173913032257
Cytotoxic CD8T,-1.37293155231973
Naive/CM T,-0.988885910432048
Naive/CM T,-0.63205556889669
Naive/CM T,-0.376519126569493
Naive/CM T,0.0388157503801471
Naive/CM T,0.0820902985027762
Naive/CM T,-0.92504240980948
Naive/CM T,0.36009380832535
Naive/CM T,0.702634105722697
Cytotoxic CD8T,0.922330494746933
Cytotoxic CD8T,-1.11989107108435
Cytotoxic CD8T,0.356368740315669
Naive/CM T,0.63906196879198
Naive/CM T,-0.784475507998315
Naive/CM T,0.223685933301951
Naive/CM T,-0.218378038117379
Naive/CM T,0.00422685729356775
Naive/CM T,-0.730333951932599
Naive/CM T,-0.701269164565921
Naive/CM T,-0.567642312389263
gdT,-0.317461727537514
Naive/CM T,0.317066049474994
Naive/CM T,0.438773542999633
Naive/CM T,0.0221230780431467
Cytotoxic CD8T,-0.471365453492931
Naive/CM T,-0.503088296509864
Naive/CM T,-0.00664071922490427
Cytotoxic CD8T,-0.370591027876119
Treg,0.500450534833998
Proliferating CD8T,1.17375806790997
Cytotoxic CD8T,-0.602042624948728
gdT,0.0966386627025213
Naive/CM T,0.0236951110226912
Naive/CM T,1.05754610885609
Naive/CM T,0.713981690248861
Cytotoxic CD8T,-0.34365602376345
Naive/CM T,-0.645384911502894
Treg,0.312906589198902
Naive/CM T,0.0608265959435235
Naive/CM T,-0.31927902619548
Naive/CM T,0.479907804009274
Cytotoxic CD8T,-0.210732039975145
Cytotoxic CD8T,-0.594163832822427
Naive/CM T,-0.385828059185046
Naive/CM T,-0.665252824666384
Naive/CM T,-0.571781542874121
Naive/CM T,-0.975959955259811
Naive/CM T,-0.918455716671449
gdT,1.26320003135847
Naive/CM T,0.292032587267799
gdT,-1.06759431010992
gdT,-1.16243596040001
Naive/CM T,-1.86415005469507
Naive/CM T,-0.0661023273024448
Naive/CM T,0.0688847433605019
Naive/CM T,0.31872654834879
Cytotoxic CD8T,-0.0396378404914365
Naive/CM T,1.19583768622819
Naive/CM T,0.09232555198535
Naive/CM T,-0.0807306203647262
gdT,-0.778921023819797
Naive/CM T,0.552195740552583
Cytotoxic CD8T,1.06462324194877
Cytotoxic CD8T,0.298917147372288
Cytotoxic CD8T,-0.254712847440153
gdT,0.334311570644042
gdT,0.463184538149682
gdT,0.613954509119486
gdT,-0.894400544868883
Naive/CM T,-0.393381577129511
Naive/CM T,-0.000476937969441593
Naive/CM T,1.44685325058015
Naive/CM T,0.014274199299614
