T_subtype,Cytotoxicity score
Naive/CM T,-0.0898173252741496
Naive/CM T,-0.840577057114353
Naive/CM T,0.710803914953161
Naive/CM T,-0.657513113669407
Naive/CM T,-1.44401188029183
Naive/CM T,-0.155128999992653
Cytotoxic CD8T,1.00493804613749
Naive/CM T,1.30504847455907
Naive/CM T,-0.256226380666097
Naive/CM T,-0.0021684596567979
Naive/CM T,0.326930698053336
Naive/CM T,0.770519056437928
Naive/CM T,0.232583137206089
Cytotoxic CD8T,0.189674885184676
Naive/CM T,-0.662210489496772
Naive/CM T,-0.555309251502708
Naive/CM T,-0.148455846456833
Naive/CM T,-0.770284524670353
Naive/CM T,-0.137589673937102
Naive/CM T,2.39061444777029
Naive/CM T,-0.985504987799091
Naive/CM T,-0.423814864806186
Cytotoxic CD8T,0.153427330064184
Naive/CM T,-0.284658305438948
Cytotoxic CD8T,0.519487575248435
Naive/CM T,-0.304055826163586
Naive/CM T,1.02368660326357
Naive/CM T,-1.1089378139119
Naive/CM T,-0.520753639715689
Cytotoxic CD8T,-0.394621207390302
Naive/CM T,-0.616676318792649
Naive/CM T,-0.225938177403108
Naive/CM T,0.326411612239884
Naive/CM T,0.14277704556783
Naive/CM T,0.0715874816164557
Naive/CM T,-0.789054888266104
Cytotoxic CD8T,-1.21007678722157
Naive/CM T,-0.18250999038602
Naive/CM T,-1.36481810278362
gdT,0.41494184953195
Naive/CM T,-0.0768228960625918
Cytotoxic CD8T,0.829512813944875
Naive/CM T,0.689299330299283
Naive/CM T,-0.0739865391342728
Naive/CM T,0.560283301789083
Naive/CM T,-0.324631779282181
Naive/CM T,-0.394620751157219
Naive/CM T,0.515469686484631
Naive/CM T,-1.1715337332384
Naive/CM T,-0.127953811192218
Naive/CM T,0.131790693895316
Naive/CM T,-0.683788237748322
Cytotoxic CD8T,0.94344683341038
Naive/CM T,-0.72080342710754
Cytotoxic CD8T,-0.00396067124825938
Cytotoxic CD8T,-0.545884182423721
Cytotoxic CD8T,-0.11661050054762
Naive/CM T,-0.945256111062603
Naive/CM T,-0.727865368495752
Naive/CM T,-0.182927013915262
Naive/CM T,0.886471086078219
Naive/CM T,-0.155357378500479
Naive/CM T,-0.388132252810913
gdT,-0.057460147657512
Naive/CM T,0.394514166278603
Naive/CM T,-0.897520318443392
Naive/CM T,0.540576799416247
gdT,0.628760379037739
gdT,1.20395306598993
Naive/CM T,0.990464189906179
Naive/CM T,-1.39345220209639
Naive/CM T,-0.34282800886366
Naive/CM T,-0.323796388543682
gdT,0.300217634365882
Naive/CM T,-1.30573540337291
Cytotoxic CD8T,1.49475883848873
Cytotoxic CD8T,-0.913210179334805
Proliferating CD8T,2.15740574436423
Cytotoxic CD8T,0.00971027656837741
Cytotoxic CD8T,1.41970050187758
Naive/CM T,0.540179117226306
Cytotoxic CD8T,0.630483115160906
Naive/CM T,0.393553964885664
Naive/CM T,0.596378279320987
Naive/CM T,0.59354183556121
Naive/CM T,-1.13680903926307
Cytotoxic CD8T,1.10677036532649
Naive/CM T,-0.506075685406908
Naive/CM T,0.24933832074389
Naive/CM T,0.700843119326932
Naive/CM T,-0.204460055739791
gdT,1.55709232813046
gdT,0.751988516913519
Naive/CM T,0.214791292025719
Naive/CM T,-0.0975579509028681
Naive/CM T,0.61723314832758
Cytotoxic CD8T,-0.263931324452529
Naive/CM T,-0.00281127588248542
Naive/CM T,0.893487441686936
Naive/CM T,-0.401148781364346
gdT,0.338292320569356
Cytotoxic CD8T,-0.576077570149927
gdT,0.333726747536365
Naive/CM T,0.280067738191581
Cytotoxic CD8T,0.282245538852832
Naive/CM T,-0.219265445514961
Naive/CM T,-0.15677061860944
Cytotoxic CD8T,2.05862568631584
Naive/CM T,1.2863782511817
gdT,-0.0619158774246404
Naive/CM T,0.368754310372435
Naive/CM T,-0.198457374984835
gdT,-0.32922605967816
Naive/CM T,-0.348965441739117
Naive/CM T,0.60613445882444
Naive/CM T,0.0703984131047754
Naive/CM T,-0.0494061046176486
Naive/CM T,1.00210226612326
Naive/CM T,0.64217154773665
gdT,1.3938840612953
Naive/CM T,0.0296212994022133
Naive/CM T,-0.111946838873404
Naive/CM T,0.351848147533558
Naive/CM T,0.315243489948319
Naive/CM T,-0.499310612678527
Naive/CM T,0.821151277165354
gdT,0.5282265080346
gdT,0.609117802278495
