source,neighbor,obs,exp_perm,log2_oe,z,p,q,significant,low_expected,sample
B,Endothelial,2371,3640.859,-0.61857105742299,-21.9938687483699,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
B,Fibroblast,3538,3070.7534,0.204279360442756,8.92787084557391,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
B,Schwann,124,187.3608,-0.591570660244228,-4.68212507547314,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
B,Neuroblast,8782,35977.3458,-2.03434314751076,-246.823844543664,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
B,Macrophage,6161,3764.5846,0.710524824372646,40.0802742748283,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
B,B,15064,1773.2274,3.08593783832317,237.882297264416,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
B,T,16844,4469.869,1.91369324895365,196.455908657132,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
T,Endothelial,8445,9175.9176,-0.119741406505617,-8.18351966240022,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
T,Fibroblast,9540,7734.91,0.302569473681341,21.6729391569549,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
T,Schwann,410,472.0852,-0.202961634368983,-3.00159779132296,0.0023995200959808,0.0024495100979804,True,False,Patient1_DX
T,Neuroblast,25611,90665.6266,-1.82375169302177,-371.18107114375,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
T,Macrophage,15705,9489.232,0.726800541028826,67.9479531677724,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
T,B,16897,4469.4582,1.91835789001045,194.249244628326,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
T,T,56664,11264.7704,2.33051193329422,337.829453988846,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Endothelial,Endothelial,10775,1890.1984,2.51044913072682,165.197520879092,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Endothelial,Fibroblast,5108,7066.3704,-0.468132586713373,-29.3490878540922,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Endothelial,Schwann,478,489.6858,-0.0347738657687018,-0.530681592504287,0.623475304939012,0.623475304939012,False,False,Patient3_DX
Endothelial,Neuroblast,1578,7574.3214,-2.26229592825867,-87.7522997087535,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Endothelial,Macrophage,2445,3139.71,-0.360666332859992,-13.8196612502171,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Endothelial,B,157,347.0644,-1.13942970446728,-10.4528504918346,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Endothelial,T,219,252.6496,-0.205333361621654,-2.13631065192039,0.0307938412317536,0.0342931413717256,True,False,Patient3_DX
Fibroblast,Endothelial,5770,7066.3508,-0.292348190397557,-17.4626474904822,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Fibroblast,Fibroblast,53463,26392.3916,1.01839102772213,174.266510856586,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Fibroblast,Schwann,1043,1830.9382,-0.811249123373467,-19.7116416892195,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Fibroblast,Neuroblast,3300,28293.8084,-3.09956232448427,-184.247076881568,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Fibroblast,Macrophage,11051,11726.5704,-0.0855966940207373,-7.12480518492132,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
