id,umap1,umap2,T_subtype
1907_Patient1_0DPHBP,0.8051957,-0.42272994,Cytotoxic T
1910_Patient1_0DPHBP,5.464458,1.9377924,Naive/CM T
1911_Patient1_0DPHBP,1.0318422,5.2529554,gdT
1915_Patient1_0DPHBP,2.2811456,4.355572,Naive/CM T
1917_Patient1_0DPHBP,3.462545,-0.6847954,Naive/CM T
1934_Patient1_0DPHBP,3.1081243,4.1442037,Proliferating T
1939_Patient1_0DPHBP,3.653331,-0.8526833,Naive/CM T
1941_Patient1_0DPHBP,1.4324832,-0.8301523,Cytotoxic T
1994_Patient1_0DPHBP,1.7100738,-0.63460106,Cytotoxic T
2016_Patient1_0DPHBP,3.7136827,1.6288341,Cytotoxic T
2018_Patient1_0DPHBP,6.7966967,1.2059969,Naive/CM T
2019_Patient1_0DPHBP,4.7725353,2.0953135,Naive/CM T
2020_Patient1_0DPHBP,4.929741,2.1818564,Naive/CM T
2033_Patient1_0DPHBP,4.613932,2.656073,Naive/CM T
2036_Patient1_0DPHBP,4.132164,1.8439091,Cytotoxic T
2038_Patient1_0DPHBP,5.2633247,2.7165484,Naive/CM T
2039_Patient1_0DPHBP,5.3638225,0.6986147,Naive/CM T
2053_Patient1_0DPHBP,1.5404581,6.412666,Naive/CM T
2063_Patient1_0DPHBP,3.596533,-0.2983999,Naive/CM T
2090_Patient1_0DPHBP,2.3179667,0.6744244,Cytotoxic T
2094_Patient1_0DPHBP,4.4511395,3.6307971,Naive/CM T
2101_Patient1_0DPHBP,4.63417,2.9767275,Naive/CM T
2108_Patient1_0DPHBP,4.72661,2.7477481,Naive/CM T
2113_Patient1_0DPHBP,3.764909,7.0546703,Naive/CM T
2126_Patient1_0DPHBP,3.192914,-0.5888305,Naive/CM T
2142_Patient1_0DPHBP,2.8878002,0.84162384,gdT
2154_Patient1_0DPHBP,3.596486,4.987511,Naive/CM T
2155_Patient1_0DPHBP,3.6501012,3.0129242,Naive/CM T
2156_Patient1_0DPHBP,4.8286476,2.1437535,Naive/CM T
2157_Patient1_0DPHBP,6.407407,1.6418583,Naive/CM T
2158_Patient1_0DPHBP,4.8596244,2.2783883,Naive/CM T
2159_Patient1_0DPHBP,7.980062,2.2021117,Naive/CM T
2160_Patient1_0DPHBP,4.6517415,3.370782,Naive/CM T
2161_Patient1_0DPHBP,4.5710764,1.785134,Naive/CM T
2162_Patient1_0DPHBP,4.243124,1.9943988,Cytotoxic T
2164_Patient1_0DPHBP,4.6333895,1.6406559,Naive/CM T
2165_Patient1_0DPHBP,4.6712737,2.2470524,Naive/CM T
2167_Patient1_0DPHBP,6.7670417,1.2068547,Naive/CM T
2170_Patient1_0DPHBP,5.7736125,0.99428004,Naive/CM T
2172_Patient1_0DPHBP,5.812064,1.5403625,Naive/CM T
2175_Patient1_0DPHBP,5.497627,1.9519908,Naive/CM T
2176_Patient1_0DPHBP,2.084941,-0.30274191,gdT
2178_Patient1_0DPHBP,0.2811366,0.8874178,Cytotoxic T
2182_Patient1_0DPHBP,6.21092,1.7642744,Naive/CM T
